,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
4800,Tega Industries Limited,TEGA,Tega Industries Ltd,Active,B ,10.00,INE011K01018,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Equipments,
4801,Mirae Asset Mutual Fund,MAHKTECH,Mirae Asset Hang Seng TECH ETF,Active,B ,10.00,INF769K01HS7,-,Equity,-,-,-,-,
4802,Anand Rathi Wealth Limited,ANANDRATHI,Anand Rathi Wealth Ltd,Active,B ,5.00,INE463V01026,Financial Services,Equity,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,
4803,Zodiac Energy Limited,ZODIAC,Zodiac Energy Ltd,Active,T ,10.00,INE761Y01019,Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
4804,RateGain Travel Technologies Limited,RATEGAIN,RateGain Travel Technologies Ltd,Active,B ,1.00,INE0CLI01024,Information Technology,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
4805,Edelweiss Mutual Fund,BBETF0432,Bharat Bond ETF - April 2032,Active,F ,1000.00,INF754K01OB1,-,MF,-,-,-,-,
4806,Shriram Properties Limited,SHRIRAMPPS,Shriram Properties Ltd,Active,B ,10.00,INE217L01019,Realty,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
4807,Jet Freight Logistics Limited,JETFREIGHT,Jet Freight Logistics Ltd,Active,B ,10.00,INE982V01017,Services,Equity,Services,Services,Transport Services,Logistics Solution Provider,
4808,SBI Mutual Fund,SFMP57GR,SBI Fixed Maturity Plan (FMP) - Series 57 (1835 Days) - Regular Plan - Growth,Active,F ,10.00,INF200KA12C9,-,MF,-,-,-,-,
4809,SBI Mutual Fund,SFMP57DR,SBI Fixed Maturity Plan (FMP) - Series 57 (1835 Days) - Regular Plan - IDCW Payout,Active,F ,10.00,INF200KA13C7,-,MF,-,-,-,-,
4810,SBI Mutual Fund,SFMP57GD,SBI Fixed Maturity Plan (FMP) - Series 57 (1835 Days) – Direct Plan - Growth,Active,F ,10.00,INF200KA14C5,-,MF,-,-,-,-,
4811,SBI Mutual Fund,SFMP57DD,SBI Fixed Maturity Plan (FMP) - Series 57 (1835 Days) - Direct Plan - IDCW Payout,Active,F ,10.00,INF200KA15C2,-,MF,-,-,-,-,
4812,C.E. Info Systems Limited,MAPMYINDIA,C.E. Info Systems Ltd,Active,B ,2.00,INE0BV301023,Information Technology,Equity,Information Technology,Information Technology,IT - Software,Software Products,
4813,Metro Brands Limited,METROBRAND,Metro Brands Ltd,Active,B ,5.00,INE317I01021,-,Equity,-,-,-,-,
4814,Medplus Health Services Limited,MEDPLUS,Medplus Health Services Ltd,Active,B ,2.00,INE804L01022,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail,
4815,Data Patterns (India) Limited,DATAPATTNS,Data Patterns (India) Ltd,Active,B ,2.00,INE0IX101010,Capital ods,Equity,Industrials,Capital ods,Aerospace & Defense,Aerospace & Defense,
4816,SBI Mutual Fund,SFMP56GR,SBI Fixed Maturity Plan (FMP) - Series 56 - (1232 Days)- Regular Plan - Growth,Active,F ,10.00,INF200KA18B8,-,MF,-,-,-,-,
4817,SBI Mutual Fund,SFMP56DR,SBI Fixed Maturity Plan (FMP) - Series 56 (1232 Days) - Regular Plan - IDCW Payout,Active,F ,10.00,INF200KA19B6,-,MF,-,-,-,-,
4818,SBI Mutual Fund,SFMP56GD,SBI Fixed Maturity Plan (FMP) - Series 56 (1232 Days) - Direct Plan - Growth,Active,F ,10.00,INF200KA10C3,-,MF,-,-,-,-,
4819,SBI Mutual Fund,SFMP56DD,SBI Fixed Maturity Plan (FMP) - Series 56 (1232 Days) -  Direct Plan - IDCW Payout,Active,F ,10.00,INF200KA11C1,-,MF,-,-,-,-,
4820,HP Adhesives Limited,HPAL,HP Adhesives Ltd,Active,B ,10.00,INE0GSL01016,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
4821,Supriya Lifescience Limited,SUPRIYA,Supriya Lifescience Ltd,Active,B ,2.00,INE07RO01027,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
